,0,1,2
334,Dan Jarvis,European Union,61
335,Boris Johnson,Yougov,60
336,Bernd Lange,Twitter,60
337,Bernd Lange,Ep European Parliament,60
338,Emma Mcclarkin,European Parliament,60
339,Angus Robertson,Royal Commission,60
340,David Cameron,Ep European Parliament,60
341,Jonathan Ashworth,Parliamentary Labour Party,60
342,Andy Burnham,Ep European Parliament,60
343,Nick Clegg,Twitter,59
344,Emma Ginn,Home Office,59
345,Nigel Farage,Yougov,58
346,Jeremy Corbyn,Shadow Health,58
347,David Miliband,It Scotland Parliament,58
348,Nick Clegg,Yougov,58
349,Andy Burnham,United Kingdom Independence Party,58
350,Emma Ginn,Serco,58
351,Lynne Cameron,Scottish National Party,58
352,Emma Mcclarkin,Green Party,58
353,Bernd Lange,European Parliament,58
354,Ed Miliband,United Kingdom Independence Party,57
355,Andy Burnham,Scottish Labour Party,56
356,Emma Mcclarkin,Ep European Parliament,56
357,Emma Mcclarkin,Twitter,56
358,David Cameron,European Commission,55
359,Emma Mcclarkin,Investment Partnership,55
360,Keith Taylor,Twitter,54
361,Bernd Lange,Green Party,54
362,Martin Schulz,Twitter,54
363,Andy Burnham,National Union Of Students,54
364,Andy Burnham,National Insurance,54
365,Jonathan Brady,Scottish National Party,53
366,Ed Miliband,Scottish Parliament,53
367,George Osborne,Parliamentary Standards Authority Ipsa,53
368,Bernd Lange,Investment Partnership,53
369,David Cameron,King Fund,53
370,John Prescott,Parliamentary Labour Party,53
371,Andy Burnham,National Health Service,52
372,Chuka Umunna,Reuters,52
373,Andrew Neil,European Union,52
374,Douglas Carswell,Opening Of Parliament,52
375,Caroline Flint,Labour Party,52
376,George Osborne,International Development,51
377,Eilidh Whiteford,National Living Wage,51
378,Caroline Flint,Supreme Court,51
379,Andy Burnham,Supreme Court,51
380,Eilidh Whiteford,Institute For Fiscal Studies,51
381,Dennis Skinner,Opening Of Parliament,51
382,George Osborne,National Union Of Students,51
383,Mary Creagh,Shadow Health,50
384,Douglas Alexander,European Union,50
385,Tony Blair,United States,50
386,Ian Kennedy,International Development,50
387,Liz Kendall,National Insurance,50
388,Liz Kendall,National Union Of Students,49
389,David Cameron,European Party,49
390,Andy Burnham,European Party,49
391,David Cameron,Scottish Parliament,49
392,Ed Miliband,New York Times,49
393,Andy Burnham,Scottish Parliament,48
394,David Cameron,Even The Police,48
395,Liz Kendall,Parliamentary Standards Authority,48
396,David Cameron,Shadow Health,48
397,Andrew Neil,Green Party,48
398,George Osborne,Scottish Parliament,47
399,Jim Murphy,Scottish Labour Party,47
